Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
706,9:05.67,9:08.73,9:47.89,9:54.07,15:35.87,15:46.59,33:09.25,1:26.71,1:28.45,2:02.28,2:04.19,2:38.21,2:41.26,4:13.22,4:16.34,4:33.17,4:36.67,5:48.08,5:51.25,6:37.29,10:15.55
707,9:05.46,9:08.52,9:47.67,9:53.85,15:35.52,15:46.24,33:08.43,1:26.68,1:28.42,2:02.24,2:04.15,2:38.15,2:41.21,4:13.13,4:16.25,4:33.07,4:36.58,5:47.95,5:51.12,6:37.11,10:15.26
708,9:05.26,9:08.32,9:47.44,9:53.63,15:35.16,15:45.89,33:07.61,1:26.65,1:28.39,2:02.20,2:04.11,2:38.09,2:41.15,4:13.04,4:16.16,4:32.97,4:36.48,5:47.82,5:51.00,6:36.92,10:14.98
709,9:05.05,9:08.11,9:47.22,9:53.41,15:34.80,15:45.54,33:06.79,1:26.62,1:28.36,2:02.16,2:04.06,2:38.04,2:41.10,4:12.94,4:16.07,4:32.87,4:36.38,5:47.70,5:50.87,6:36.73,10:14.69
710,9:04.84,9:07.91,9:47.00,9:53.19,15:34.45,15:45.19,33:05.97,1:26.59,1:28.33,2:02.11,2:04.02,2:37.98,2:41.04,4:12.85,4:15.98,4:32.77,4:36.28,5:47.57,5:50.75,6:36.55,10:14.40
711,9:04.63,9:07.70,9:46.77,9:52.97,15:34.09,15:44.85,33:05.15,1:26.56,1:28.30,2:02.07,2:03.98,2:37.93,2:40.99,4:12.76,4:15.89,4:32.67,4:36.18,5:47.44,5:50.62,6:36.36,10:14.12
712,9:04.42,9:07.49,9:46.55,9:52.75,15:33.73,15:44.50,33:04.33,1:26.53,1:28.27,2:02.03,2:03.94,2:37.87,2:40.93,4:12.67,4:15.79,4:32.57,4:36.09,5:47.31,5:50.50,6:36.18,10:13.83
713,9:04.22,9:07.29,9:46.33,9:52.53,15:33.38,15:44.15,33:03.51,1:26.50,1:28.24,2:01.99,2:03.90,2:37.81,2:40.88,4:12.57,4:15.70,4:32.47,4:35.99,5:47.19,5:50.38,6:35.99,10:13.55
714,9:04.01,9:07.08,9:46.10,9:52.31,15:33.02,15:43.80,33:02.69,1:26.47,1:28.21,2:01.94,2:03.85,2:37.76,2:40.82,4:12.48,4:15.61,4:32.37,4:35.89,5:47.06,5:50.25,6:35.81,10:13.26
715,9:03.80,9:06.88,9:45.88,9:52.09,15:32.67,15:43.46,33:01.88,1:26.44,1:28.18,2:01.90,2:03.81,2:37.70,2:40.76,4:12.39,4:15.52,4:32.27,4:35.79,5:46.93,5:50.13,6:35.62,10:12.98
716,9:03.60,9:06.67,9:45.66,9:51.87,15:32.31,15:43.11,33:01.06,1:26.41,1:28.15,2:01.86,2:03.77,2:37.65,2:40.71,4:12.29,4:15.43,4:32.17,4:35.70,5:46.81,5:50.00,6:35.44,10:12.69
717,9:03.39,9:06.47,9:45.43,9:51.65,15:31.96,15:42.76,33:00.24,1:26.38,1:28.12,2:01.82,2:03.73,2:37.59,2:40.65,4:12.20,4:15.34,4:32.07,4:35.60,5:46.68,5:49.88,6:35.25,10:12.41
718,9:03.18,9:06.26,9:45.21,9:51.43,15:31.61,15:42.41,32:59.43,1:26.35,1:28.09,2:01.78,2:03.69,2:37.54,2:40.60,4:12.11,4:15.25,4:31.97,4:35.50,5:46.55,5:49.75,6:35.07,10:12.13
719,9:02.98,9:06.06,9:44.99,9:51.21,15:31.25,15:42.07,32:58.61,1:26.32,1:28.06,2:01.73,2:03.64,2:37.48,2:40.54,4:12.02,4:15.16,4:31.87,4:35.41,5:46.43,5:49.63,6:34.88,10:11.84
720,9:02.77,9:05.86,9:44.77,9:50.99,15:30.90,15:41.72,32:57.80,1:26.29,1:28.03,2:01.69,2:03.60,2:37.42,2:40.49,4:11.92,4:15.06,4:31.77,4:35.31,5:46.30,5:49.51,6:34.70,10:11.56
721,9:02.56,9:05.65,9:44.54,9:50.77,15:30.55,15:41.38,32:56.98,1:26.26,1:28.00,2:01.65,2:03.56,2:37.37,2:40.43,4:11.83,4:14.97,4:31.67,4:35.21,5:46.18,5:49.38,6:34.52,10:11.27
722,9:02.36,9:05.45,9:44.32,9:50.55,15:30.19,15:41.03,32:56.17,1:26.23,1:27.97,2:01.61,2:03.52,2:37.31,2:40.38,4:11.74,4:14.88,4:31.57,4:35.12,5:46.05,5:49.26,6:34.33,10:10.99
723,9:02.15,9:05.24,9:44.10,9:50.33,15:29.84,15:40.69,32:55.36,1:26.20,1:27.94,2:01.57,2:03.48,2:37.26,2:40.32,4:11.65,4:14.79,4:31.47,4:35.02,5:45.92,5:49.13,6:34.15,10:10.71
724,9:01.94,9:05.04,9:43.88,9:50.11,15:29.49,15:40.34,32:54.55,1:26.17,1:27.91,2:01.53,2:03.43,2:37.20,2:40.27,4:11.56,4:14.70,4:31.37,4:34.92,5:45.80,5:49.01,6:33.96,10:10.42
725,9:01.74,9:04.84,9:43.66,9:49.89,15:29.13,15:40.00,32:53.73,1:26.14,1:27.88,2:01.48,2:03.39,2:37.15,2:40.21,4:11.46,4:14.61,4:31.28,4:34.82,5:45.67,5:48.89,6:33.78,10:10.14
726,9:01.53,9:04.63,9:43.44,9:49.67,15:28.78,15:39.65,32:52.92,1:26.11,1:27.85,2:01.44,2:03.35,2:37.09,2:40.16,4:11.37,4:14.52,4:31.18,4:34.73,5:45.55,5:48.76,6:33.60,10:09.86
727,9:01.33,9:04.43,9:43.21,9:49.45,15:28.43,15:39.31,32:52.11,1:26.08,1:27.82,2:01.40,2:03.31,2:37.04,2:40.10,4:11.28,4:14.43,4:31.08,4:34.63,5:45.42,5:48.64,6:33.41,10:09.58
728,9:01.12,9:04.23,9:42.99,9:49.24,15:28.08,15:38.96,32:51.30,1:26.05,1:27.79,2:01.36,2:03.27,2:36.98,2:40.05,4:11.19,4:14.34,4:30.98,4:34.54,5:45.30,5:48.52,6:33.23,10:09.29
729,9:00.92,9:04.02,9:42.77,9:49.02,15:27.73,15:38.62,32:50.49,1:26.02,1:27.76,2:01.32,2:03.22,2:36.92,2:39.99,4:11.10,4:14.25,4:30.88,4:34.44,5:45.17,5:48.39,6:33.05,10:09.01
730,9:00.71,9:03.82,9:42.55,9:48.80,15:27.38,15:38.27,32:49.69,1:25.99,1:27.73,2:01.28,2:03.18,2:36.87,2:39.94,4:11.00,4:14.16,4:30.78,4:34.34,5:45.04,5:48.27,6:32.86,10:08.73
731,9:00.51,9:03.62,9:42.33,9:48.58,15:27.02,15:37.93,32:48.88,1:25.96,1:27.70,2:01.23,2:03.14,2:36.81,2:39.88,4:10.91,4:14.07,4:30.68,4:34.25,5:44.92,5:48.15,6:32.68,10:08.45
732,9:00.30,9:03.42,9:42.11,9:48.36,15:26.67,15:37.59,32:48.07,1:25.93,1:27.67,2:01.19,2:03.10,2:36.76,2:39.83,4:10.82,4:13.98,4:30.58,4:34.15,5:44.79,5:48.02,6:32.50,10:08.17
733,9:00.10,9:03.21,9:41.89,9:48.15,15:26.32,15:37.24,32:47.26,1:25.90,1:27.64,2:01.15,2:03.06,2:36.70,2:39.77,4:10.73,4:13.89,4:30.48,4:34.05,5:44.67,5:47.90,6:32.32,10:07.89
734,8:59.89,9:03.01,9:41.67,9:47.93,15:25.97,15:36.90,32:46.46,1:25.87,1:27.61,2:01.11,2:03.02,2:36.65,2:39.72,4:10.64,4:13.80,4:30.39,4:33.96,5:44.54,5:47.78,6:32.13,10:07.61
735,8:59.69,9:02.81,9:41.45,9:47.71,15:25.62,15:36.56,32:45.65,1:25.84,1:27.58,2:01.07,2:02.98,2:36.59,2:39.66,4:10.55,4:13.71,4:30.29,4:33.86,5:44.42,5:47.66,6:31.95,10:07.32
736,8:59.48,9:02.61,9:41.23,9:47.49,15:25.27,15:36.22,32:44.85,1:25.81,1:27.55,2:01.03,2:02.93,2:36.54,2:39.61,4:10.45,4:13.62,4:30.19,4:33.77,5:44.29,5:47.53,6:31.77,10:07.04
737,8:59.28,9:02.40,9:41.01,9:47.28,15:24.92,15:35.87,32:44.04,1:25.78,1:27.52,2:00.98,2:02.89,2:36.48,2:39.56,4:10.36,4:13.53,4:30.09,4:33.67,5:44.17,5:47.41,6:31.59,10:06.76
738,8:59.08,9:02.20,9:40.79,9:47.06,15:24.57,15:35.53,32:43.24,1:25.75,1:27.49,2:00.94,2:02.85,2:36.43,2:39.50,4:10.27,4:13.44,4:29.99,4:33.57,5:44.04,5:47.29,6:31.40,10:06.48
739,8:58.87,9:02.00,9:40.57,9:46.84,15:24.22,15:35.19,32:42.43,1:25.72,1:27.46,2:00.90,2:02.81,2:36.37,2:39.45,4:10.18,4:13.35,4:29.89,4:33.48,5:43.92,5:47.17,6:31.22,10:06.20
740,8:58.67,9:01.80,9:40.35,9:46.63,15:23.88,15:34.85,32:41.63,1:25.69,1:27.44,2:00.86,2:02.77,2:36.32,2:39.39,4:10.09,4:13.26,4:29.80,4:33.38,5:43.80,5:47.04,6:31.04,10:05.92
741,8:58.47,9:01.60,9:40.13,9:46.41,15:23.53,15:34.51,32:40.83,1:25.66,1:27.41,2:00.82,2:02.73,2:36.26,2:39.34,4:10.00,4:13.17,4:29.70,4:33.29,5:43.67,5:46.92,6:30.86,10:05.64
742,8:58.26,9:01.40,9:39.91,9:46.20,15:23.18,15:34.17,32:40.02,1:25.63,1:27.38,2:00.78,2:02.69,2:36.21,2:39.28,4:09.91,4:13.08,4:29.60,4:33.19,5:43.55,5:46.80,6:30.68,10:05.36
743,8:58.06,9:01.20,9:39.70,9:45.98,15:22.83,15:33.83,32:39.22,1:25.60,1:27.35,2:00.74,2:02.64,2:36.15,2:39.23,4:09.82,4:12.99,4:29.50,4:33.10,5:43.42,5:46.68,6:30.50,10:05.09
744,8:57.86,9:00.99,9:39.48,9:45.76,15:22.48,15:33.49,32:38.42,1:25.58,1:27.32,2:00.70,2:02.60,2:36.10,2:39.17,4:09.72,4:12.90,4:29.40,4:33.00,5:43.30,5:46.56,6:30.32,10:04.81
745,8:57.65,9:00.79,9:39.26,9:45.55,15:22.14,15:33.15,32:37.62,1:25.55,1:27.29,2:00.65,2:02.56,2:36.05,2:39.12,4:09.63,4:12.81,4:29.31,4:32.90,5:43.17,5:46.43,6:30.13,10:04.53
746,8:57.45,9:00.59,9:39.04,9:45.33,15:21.79,15:32.81,32:36.82,1:25.52,1:27.26,2:00.61,2:02.52,2:35.99,2:39.07,4:09.54,4:12.72,4:29.21,4:32.81,5:43.05,5:46.31,6:29.95,10:04.25
747,8:57.25,9:00.39,9:38.82,9:45.12,15:21.44,15:32.47,32:36.02,1:25.49,1:27.23,2:00.57,2:02.48,2:35.94,2:39.01,4:09.45,4:12.63,4:29.11,4:32.71,5:42.93,5:46.19,6:29.77,10:03.97
748,8:57.04,9:00.19,9:38.60,9:44.90,15:21.09,15:32.13,32:35.22,1:25.46,1:27.20,2:00.53,2:02.44,2:35.88,2:38.96,4:09.36,4:12.54,4:29.01,4:32.62,5:42.80,5:46.07,6:29.59,10:03.69
749,8:56.84,8:59.99,9:38.39,9:44.69,15:20.75,15:31.79,32:34.42,1:25.43,1:27.17,2:00.49,2:02.40,2:35.83,2:38.90,4:09.27,4:12.45,4:28.92,4:32.52,5:42.68,5:45.95,6:29.41,10:03.41
750,8:56.64,8:59.79,9:38.17,9:44.47,15:20.40,15:31.45,32:33.63,1:25.40,1:27.14,2:00.45,2:02.36,2:35.77,2:38.85,4:09.18,4:12.36,4:28.82,4:32.43,5:42.56,5:45.83,6:29.23,10:03.14
751,8:56.44,8:59.59,9:37.95,9:44.26,15:20.05,15:31.11,32:32.83,1:25.37,1:27.11,2:00.41,2:02.31,2:35.72,2:38.79,4:09.09,4:12.28,4:28.72,4:32.33,5:42.43,5:45.70,6:29.05,10:02.86
752,8:56.24,8:59.39,9:37.73,9:44.04,15:19.71,15:30.77,32:32.03,1:25.34,1:27.08,2:00.37,2:02.27,2:35.66,2:38.74,4:09.00,4:12.19,4:28.62,4:32.24,5:42.31,5:45.58,6:28.87,10:02.58
753,8:56.03,8:59.19,9:37.51,9:43.83,15:19.36,15:30.43,32:31.24,1:25.31,1:27.05,2:00.33,2:02.23,2:35.61,2:38.69,4:08.91,4:12.10,4:28.53,4:32.14,5:42.18,5:45.46,6:28.69,10:02.30
754,8:55.83,8:58.99,9:37.30,9:43.61,15:19.02,15:30.09,32:30.44,1:25.28,1:27.03,2:00.29,2:02.19,2:35.56,2:38.63,4:08.82,4:12.01,4:28.43,4:32.05,5:42.06,5:45.34,6:28.51,10:02.03
755,8:55.63,8:58.79,9:37.08,9:43.40,15:18.67,15:29.76,32:29.65,1:25.25,1:27.00,2:00.24,2:02.15,2:35.50,2:38.58,4:08.73,4:11.92,4:28.33,4:31.95,5:41.94,5:45.22,6:28.33,10:01.75
756,8:55.43,8:58.59,9:36.86,9:43.18,15:18.33,15:29.42,32:28.85,1:25.22,1:26.97,2:00.20,2:02.11,2:35.45,2:38.52,4:08.64,4:11.83,4:28.24,4:31.86,5:41.81,5:45.10,6:28.15,10:01.47
757,8:55.23,8:58.39,9:36.65,9:42.97,15:17.98,15:29.08,32:28.06,1:25.19,1:26.94,2:00.16,2:02.07,2:35.39,2:38.47,4:08.55,4:11.74,4:28.14,4:31.76,5:41.69,5:44.98,6:27.97,10:01.19
758,8:55.03,8:58.19,9:36.43,9:42.75,15:17.64,15:28.74,32:27.26,1:25.16,1:26.91,2:00.12,2:02.03,2:35.34,2:38.42,4:08.46,4:11.65,4:28.04,4:31.67,5:41.57,5:44.86,6:27.79,10:00.92
759,8:54.82,8:57.99,9:36.21,9:42.54,15:17.29,15:28.41,32:26.47,1:25.13,1:26.88,2:00.08,2:01.99,2:35.28,2:38.36,4:08.37,4:11.56,4:27.94,4:31.58,5:41.45,5:44.74,6:27.61,10:00.64
760,8:54.62,8:57.80,9:36.00,9:42.33,15:16.95,15:28.07,32:25.68,1:25.11,1:26.85,2:00.04,2:01.95,2:35.23,2:38.31,4:08.28,4:11.48,4:27.85,4:31.48,5:41.32,5:44.61,6:27.43,10:00.37
761,8:54.42,8:57.60,9:35.78,9:42.11,15:16.60,15:27.73,32:24.89,1:25.08,1:26.82,2:00.00,2:01.91,2:35.18,2:38.26,4:08.19,4:11.39,4:27.75,4:31.39,5:41.20,5:44.49,6:27.25,10:00.09
762,8:54.22,8:57.40,9:35.56,9:41.90,15:16.26,15:27.40,32:24.09,1:25.05,1:26.79,1:59.96,2:01.86,2:35.12,2:38.20,4:08.10,4:11.30,4:27.65,4:31.29,5:41.08,5:44.37,6:27.07,9:59.81
763,8:54.02,8:57.20,9:35.35,9:41.69,15:15.92,15:27.06,32:23.30,1:25.02,1:26.76,1:59.92,2:01.82,2:35.07,2:38.15,4:08.01,4:11.21,4:27.56,4:31.20,5:40.96,5:44.25,6:26.89,9:59.54
764,8:53.82,8:57.00,9:35.13,9:41.47,15:15.57,15:26.72,32:22.51,1:24.99,1:26.73,1:59.88,2:01.78,2:35.01,2:38.09,4:07.92,4:11.12,4:27.46,4:31.10,5:40.83,5:44.13,6:26.71,9:59.26
765,8:53.62,8:56.80,9:34.92,9:41.26,15:15.23,15:26.39,32:21.72,1:24.96,1:26.71,1:59.84,2:01.74,2:34.96,2:38.04,4:07.83,4:11.03,4:27.36,4:31.01,5:40.71,5:44.01,6:26.54,9:58.99
766,8:53.42,8:56.61,9:34.70,9:41.05,15:14.89,15:26.05,32:20.93,1:24.93,1:26.68,1:59.80,2:01.70,2:34.91,2:37.99,4:07.74,4:10.95,4:27.27,4:30.92,5:40.59,5:43.89,6:26.36,9:58.71
767,8:53.22,8:56.41,9:34.49,9:40.84,15:14.54,15:25.72,32:20.14,1:24.90,1:26.65,1:59.76,2:01.66,2:34.85,2:37.93,4:07.65,4:10.86,4:27.17,4:30.82,5:40.47,5:43.77,6:26.18,9:58.44
768,8:53.02,8:56.21,9:34.27,9:40.62,15:14.20,15:25.38,32:19.36,1:24.87,1:26.62,1:59.72,2:01.62,2:34.80,2:37.88,4:07.56,4:10.77,4:27.07,4:30.73,5:40.34,5:43.65,6:26.00,9:58.16
769,8:52.82,8:56.01,9:34.06,9:40.41,15:13.86,15:25.05,32:18.57,1:24.84,1:26.59,1:59.67,2:01.58,2:34.74,2:37.83,4:07.47,4:10.68,4:26.98,4:30.63,5:40.22,5:43.53,6:25.82,9:57.89
770,8:52.62,8:55.81,9:33.84,9:40.20,15:13.52,15:24.71,32:17.78,1:24.81,1:26.56,1:59.63,2:01.54,2:34.69,2:37.77,4:07.38,4:10.59,4:26.88,4:30.54,5:40.10,5:43.41,6:25.64,9:57.61
771,8:52.42,8:55.62,9:33.63,9:39.99,15:13.18,15:24.38,32:16.99,1:24.79,1:26.53,1:59.59,2:01.50,2:34.64,2:37.72,4:07.29,4:10.51,4:26.79,4:30.45,5:39.98,5:43.29,6:25.47,9:57.34
772,8:52.22,8:55.42,9:33.41,9:39.77,15:12.83,15:24.04,32:16.21,1:24.76,1:26.50,1:59.55,2:01.46,2:34.58,2:37.67,4:07.20,4:10.42,4:26.69,4:30.35,5:39.86,5:43.17,6:25.29,9:57.07
773,8:52.02,8:55.22,9:33.20,9:39.56,15:12.49,15:23.71,32:15.42,1:24.73,1:26.47,1:59.51,2:01.42,2:34.53,2:37.61,4:07.11,4:10.33,4:26.59,4:30.26,5:39.73,5:43.05,6:25.11,9:56.79
774,8:51.82,8:55.03,9:32.98,9:39.35,15:12.15,15:23.37,32:14.64,1:24.70,1:26.45,1:59.47,2:01.38,2:34.48,2:37.56,4:07.02,4:10.24,4:26.50,4:30.17,5:39.61,5:42.93,6:24.93,9:56.52
775,8:51.63,8:54.83,9:32.77,9:39.14,15:11.81,15:23.04,32:13.85,1:24.67,1:26.42,1:59.43,2:01.34,2:34.42,2:37.51,4:06.94,4:10.16,4:26.40,4:30.07,5:39.49,5:42.81,6:24.75,9:56.24
776,8:51.43,8:54.63,9:32.55,9:38.93,15:11.47,15:22.71,32:13.07,1:24.64,1:26.39,1:59.39,2:01.30,2:34.37,2:37.45,4:06.85,4:10.07,4:26.31,4:29.98,5:39.37,5:42.69,6:24.58,9:55.97
777,8:51.23,8:54.43,9:32.34,9:38.72,15:11.13,15:22.37,32:12.28,1:24.61,1:26.36,1:59.35,2:01.26,2:34.31,2:37.40,4:06.76,4:09.98,4:26.21,4:29.89,5:39.25,5:42.58,6:24.40,9:55.70
778,8:51.03,8:54.24,9:32.13,9:38.50,15:10.79,15:22.04,32:11.50,1:24.58,1:26.33,1:59.31,2:01.22,2:34.26,2:37.35,4:06.67,4:09.89,4:26.12,4:29.79,5:39.13,5:42.46,6:24.22,9:55.43
779,8:50.83,8:54.04,9:31.91,9:38.29,15:10.45,15:21.71,32:10.72,1:24.55,1:26.30,1:59.27,2:01.18,2:34.21,2:37.29,4:06.58,4:09.81,4:26.02,4:29.70,5:39.00,5:42.34,6:24.04,9:55.15
780,8:50.63,8:53.85,9:31.70,9:38.08,15:10.11,15:21.38,32:09.93,1:24.53,1:26.27,1:59.23,2:01.14,2:34.15,2:37.24,4:06.49,4:09.72,4:25.92,4:29.61,5:38.88,5:42.22,6:23.87,9:54.88
781,8:50.43,8:53.65,9:31.49,9:37.87,15:09.77,15:21.04,32:09.15,1:24.50,1:26.24,1:59.19,2:01.09,2:34.10,2:37.19,4:06.40,4:09.63,4:25.83,4:29.51,5:38.76,5:42.10,6:23.69,9:54.61
782,8:50.24,8:53.45,9:31.27,9:37.66,15:09.43,15:20.71,32:08.37,1:24.47,1:26.22,1:59.15,2:01.05,2:34.05,2:37.14,4:06.31,4:09.54,4:25.73,4:29.42,5:38.64,5:41.98,6:23.51,9:54.34
783,8:50.04,8:53.26,9:31.06,9:37.45,15:09.09,15:20.38,32:07.59,1:24.44,1:26.19,1:59.11,2:01.01,2:33.99,2:37.08,4:06.22,4:09.46,4:25.64,4:29.33,5:38.52,5:41.86,6:23.34,9:54.06
784,8:49.84,8:53.06,9:30.85,9:37.24,15:08.75,15:20.05,32:06.81,1:24.41,1:26.16,1:59.07,2:00.97,2:33.94,2:37.03,4:06.14,4:09.37,4:25.54,4:29.23,5:38.40,5:41.74,6:23.16,9:53.79
785,8:49.64,8:52.87,9:30.63,9:37.03,15:08.41,15:19.72,32:06.03,1:24.38,1:26.13,1:59.03,2:00.93,2:33.89,2:36.98,4:06.05,4:09.28,4:25.45,4:29.14,5:38.28,5:41.62,6:22.98,9:53.52
786,8:49.44,8:52.67,9:30.42,9:36.82,15:08.08,15:19.39,32:05.25,1:24.35,1:26.10,1:58.99,2:00.89,2:33.83,2:36.92,4:05.96,4:09.19,4:25.35,4:29.05,5:38.16,5:41.50,6:22.81,9:53.25
787,8:49.25,8:52.47,9:30.21,9:36.61,15:07.74,15:19.05,32:04.47,1:24.32,1:26.07,1:58.95,2:00.85,2:33.78,2:36.87,4:05.87,4:09.11,4:25.26,4:28.95,5:38.04,5:41.39,6:22.63,9:52.98
788,8:49.05,8:52.28,9:30.00,9:36.40,15:07.40,15:18.72,32:03.69,1:24.30,1:26.04,1:58.91,2:00.81,2:33.73,2:36.82,4:05.78,4:09.02,4:25.16,4:28.86,5:37.92,5:41.27,6:22.46,9:52.71
789,8:48.85,8:52.08,9:29.78,9:36.19,15:07.06,15:18.39,32:02.92,1:24.27,1:26.02,1:58.87,2:00.77,2:33.67,2:36.77,4:05.69,4:08.93,4:25.07,4:28.77,5:37.79,5:41.15,6:22.28,9:52.43
790,8:48.66,8:51.89,9:29.57,9:35.98,15:06.72,15:18.06,32:02.14,1:24.24,1:25.99,1:58.83,2:00.73,2:33.62,2:36.71,4:05.61,4:08.85,4:24.97,4:28.68,5:37.67,5:41.03,6:22.10,9:52.16
791,8:48.46,8:51.69,9:29.36,9:35.77,15:06.39,15:17.73,32:01.36,1:24.21,1:25.96,1:58.79,2:00.69,2:33.57,2:36.66,4:05.52,4:08.76,4:24.88,4:28.58,5:37.55,5:40.91,6:21.93,9:51.89
792,8:48.26,8:51.50,9:29.15,9:35.56,15:06.05,15:17.40,32:00.58,1:24.18,1:25.93,1:58.75,2:00.65,2:33.52,2:36.61,4:05.43,4:08.67,4:24.78,4:28.49,5:37.43,5:40.79,6:21.75,9:51.62
793,8:48.06,8:51.30,9:28.93,9:35.35,15:05.71,15:17.07,31:59.81,1:24.15,1:25.90,1:58.71,2:00.61,2:33.46,2:36.55,4:05.34,4:08.59,4:24.69,4:28.40,5:37.31,5:40.68,6:21.58,9:51.35
794,8:47.87,8:51.11,9:28.72,9:35.14,15:05.38,15:16.74,31:59.03,1:24.12,1:25.87,1:58.67,2:00.57,2:33.41,2:36.50,4:05.25,4:08.50,4:24.59,4:28.31,5:37.19,5:40.56,6:21.40,9:51.08
795,8:47.67,8:50.92,9:28.51,9:34.94,15:05.04,15:16.41,31:58.26,1:24.09,1:25.85,1:58.63,2:00.53,2:33.36,2:36.45,4:05.17,4:08.41,4:24.50,4:28.21,5:37.07,5:40.44,6:21.23,9:50.81
796,8:47.48,8:50.72,9:28.30,9:34.73,15:04.70,15:16.08,31:57.48,1:24.07,1:25.82,1:58.59,2:00.49,2:33.30,2:36.40,4:05.08,4:08.33,4:24.40,4:28.12,5:36.95,5:40.32,6:21.05,9:50.54
797,8:47.28,8:50.53,9:28.09,9:34.52,15:04.37,15:15.75,31:56.71,1:24.04,1:25.79,1:58.55,2:00.45,2:33.25,2:36.34,4:04.99,4:08.24,4:24.31,4:28.03,5:36.83,5:40.20,6:20.87,9:50.27
798,8:47.08,8:50.33,9:27.88,9:34.31,15:04.03,15:15.43,31:55.94,1:24.01,1:25.76,1:58.51,2:00.41,2:33.20,2:36.29,4:04.90,4:08.15,4:24.21,4:27.94,5:36.71,5:40.09,6:20.70,9:50.00
799,8:46.89,8:50.14,9:27.67,9:34.10,15:03.70,15:15.10,31:55.16,1:23.98,1:25.73,1:58.47,2:00.37,2:33.15,2:36.24,4:04.81,4:08.07,4:24.12,4:27.85,5:36.59,5:39.97,6:20.52,9:49.73
800,8:46.69,8:49.95,9:27.46,9:33.89,15:03.36,15:14.77,31:54.39,1:23.95,1:25.70,1:58.43,2:00.33,2:33.09,2:36.19,4:04.73,4:07.98,4:24.02,4:27.75,5:36.47,5:39.85,6:20.35,9:49.46
801,8:46.50,8:49.75,9:27.24,9:33.68,15:03.02,15:14.44,31:53.62,1:23.92,1:25.68,1:58.39,2:00.29,2:33.04,2:36.14,4:04.64,4:07.90,4:23.93,4:27.66,5:36.35,5:39.73,6:20.18,9:49.20
802,8:46.30,8:49.56,9:27.03,9:33.48,15:02.69,15:14.11,31:52.85,1:23.90,1:25.65,1:58.35,2:00.25,2:32.99,2:36.08,4:04.55,4:07.81,4:23.84,4:27.57,5:36.23,5:39.62,6:20.00,9:48.93
803,8:46.10,8:49.36,9:26.82,9:33.27,15:02.35,15:13.79,31:52.08,1:23.87,1:25.62,1:58.31,2:00.22,2:32.93,2:36.03,4:04.46,4:07.72,4:23.74,4:27.48,5:36.11,5:39.50,6:19.83,9:48.66
804,8:45.91,8:49.17,9:26.61,9:33.06,15:02.02,15:13.46,31:51.31,1:23.84,1:25.59,1:58.27,2:00.18,2:32.88,2:35.98,4:04.38,4:07.64,4:23.65,4:27.39,5:36.00,5:39.38,6:19.65,9:48.39
805,8:45.71,8:48.98,9:26.40,9:32.85,15:01.69,15:13.13,31:50.54,1:23.81,1:25.56,1:58.23,2:00.14,2:32.83,2:35.93,4:04.29,4:07.55,4:23.55,4:27.29,5:35.88,5:39.26,6:19.48,9:48.12
806,8:45.52,8:48.78,9:26.19,9:32.65,15:01.35,15:12.80,31:49.77,1:23.78,1:25.53,1:58.19,2:00.10,2:32.78,2:35.87,4:04.20,4:07.47,4:23.46,4:27.20,5:35.76,5:39.15,6:19.30,9:47.85
807,8:45.32,8:48.59,9:25.98,9:32.44,15:01.02,15:12.48,31:49.00,1:23.75,1:25.51,1:58.15,2:00.06,2:32.72,2:35.82,4:04.11,4:07.38,4:23.37,4:27.11,5:35.64,5:39.03,6:19.13,9:47.58
808,8:45.13,8:48.40,9:25.77,9:32.23,15:00.68,15:12.15,31:48.23,1:23.73,1:25.48,1:58.11,2:00.02,2:32.67,2:35.77,4:04.03,4:07.29,4:23.27,4:27.02,5:35.52,5:38.91,6:18.96,9:47.32
809,8:44.93,8:48.21,9:25.56,9:32.02,15:00.35,15:11.82,31:47.46,1:23.70,1:25.45,1:58.07,1:59.98,2:32.62,2:35.72,4:03.94,4:07.21,4:23.18,4:26.93,5:35.40,5:38.80,6:18.78,9:47.05
810,8:44.74,8:48.01,9:25.35,9:31.82,15:00.02,15:11.50,31:46.69,1:23.67,1:25.42,1:58.03,1:59.94,2:32.57,2:35.67,4:03.85,4:07.12,4:23.08,4:26.84,5:35.28,5:38.68,6:18.61,9:46.78
811,8:44.54,8:47.82,9:25.14,9:31.61,14:59.68,15:11.17,31:45.93,1:23.64,1:25.39,1:58.00,1:59.90,2:32.51,2:35.61,4:03.77,4:07.04,4:22.99,4:26.74,5:35.16,5:38.56,6:18.43,9:46.51
812,8:44.35,8:47.63,9:24.93,9:31.40,14:59.35,15:10.84,31:45.16,1:23.61,1:25.37,1:57.96,1:59.86,2:32.46,2:35.56,4:03.68,4:06.95,4:22.90,4:26.65,5:35.04,5:38.44,6:18.26,9:46.25
813,8:44.16,8:47.44,9:24.73,9:31.20,14:59.02,15:10.52,31:44.39,1:23.58,1:25.34,1:57.92,1:59.82,2:32.41,2:35.51,4:03.59,4:06.87,4:22.80,4:26.56,5:34.92,5:38.33,6:18.09,9:45.98
