Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
55,12:37.85,12:38.70,13:36.34,13:39.65,21:39.29,21:42.28,47:06.02,1:57.55,1:59.12,2:45.33,2:47.30,3:35.36,3:38.02,5:48.22,5:49.81,6:15.41,6:16.39,7:57.78,7:58.66,9:46.67,15:07.11
56,12:37.10,12:37.96,13:35.54,13:38.86,21:38.01,21:41.03,47:03.08,1:57.45,1:59.01,2:45.18,2:47.15,3:35.16,3:37.82,5:47.88,5:49.48,6:15.05,6:16.04,7:57.32,7:58.22,9:46.01,15:06.09
57,12:36.37,12:37.23,13:34.75,13:38.08,21:36.75,21:39.80,47:00.18,1:57.34,1:58.91,2:45.03,2:47.00,3:34.97,3:37.62,5:47.55,5:49.16,6:14.70,6:15.69,7:56.87,7:57.77,9:45.35,15:05.07
58,12:35.64,12:36.51,13:33.96,13:37.30,21:35.50,21:38.57,46:57.30,1:57.23,1:58.80,2:44.88,2:46.85,3:34.77,3:37.43,5:47.23,5:48.83,6:14.35,6:15.35,7:56.43,7:57.34,9:44.70,15:04.07
59,12:34.91,12:35.79,13:33.18,13:36.53,21:34.26,21:37.36,46:54.44,1:57.13,1:58.70,2:44.73,2:46.71,3:34.57,3:37.24,5:46.90,5:48.51,6:14.00,6:15.01,7:55.98,7:56.90,9:44.05,15:03.08
60,12:34.19,12:35.08,13:32.41,13:35.77,21:33.03,21:36.16,46:51.61,1:57.02,1:58.59,2:44.59,2:46.56,3:34.38,3:37.04,5:46.58,5:48.20,6:13.65,6:14.67,7:55.54,7:56.47,9:43.41,15:02.09
61,12:33.48,12:34.38,13:31.64,13:35.01,21:31.81,21:34.96,46:48.80,1:56.92,1:58.49,2:44.44,2:46.42,3:34.19,3:36.85,5:46.26,5:47.88,6:13.31,6:14.34,7:55.11,7:56.04,9:42.78,15:01.11
62,12:32.77,12:33.68,13:30.88,13:34.26,21:30.60,21:33.78,46:46.02,1:56.82,1:58.39,2:44.30,2:46.27,3:34.00,3:36.66,5:45.95,5:47.57,6:12.97,6:14.00,7:54.68,7:55.62,9:42.15,15:00.14
63,12:32.07,12:32.99,13:30.13,13:33.52,21:29.40,21:32.60,46:43.25,1:56.71,1:58.29,2:44.16,2:46.13,3:33.81,3:36.48,5:45.63,5:47.27,6:12.63,6:13.68,7:54.25,7:55.20,9:41.52,14:59.18
64,12:31.38,12:32.30,13:29.38,13:32.78,21:28.21,21:31.44,46:40.51,1:56.61,1:58.18,2:44.02,2:45.99,3:33.62,3:36.29,5:45.32,5:46.96,6:12.29,6:13.35,7:53.82,7:54.78,9:40.90,14:58.22
65,12:30.69,12:31.62,13:28.64,13:32.05,21:27.03,21:30.28,46:37.79,1:56.51,1:58.09,2:43.88,2:45.85,3:33.44,3:36.11,5:45.01,5:46.66,6:11.96,6:13.02,7:53.40,7:54.37,9:40.28,14:57.27
66,12:30.01,12:30.94,13:27.90,13:31.32,21:25.86,21:29.14,46:35.09,1:56.41,1:57.99,2:43.74,2:45.71,3:33.25,3:35.92,5:44.71,5:46.35,6:11.63,6:12.70,7:52.98,7:53.95,9:39.67,14:56.33
67,12:29.33,12:30.27,13:27.17,13:30.60,21:24.70,21:28.00,46:32.42,1:56.32,1:57.89,2:43.60,2:45.57,3:33.07,3:35.74,5:44.40,5:46.05,6:11.30,6:12.38,7:52.57,7:53.55,9:39.07,14:55.40
